,Importers,Country,Product,Quantity,Year,Month,Unit,Values
286,Singapore,Australia,070200,325,2020,M03,Tons,49
287,"Hong Kong, China",Australia,070200,168,2020,M03,Tons,20
288,Qatar,Australia,070200,135,2020,M03,Tons,0
289,Brunei Darussalam,Australia,070200,64,2020,M03,Tons,15
290,Indonesia,Australia,070200,54,2020,M03,Tons,0
291,Papua New Guinea,Australia,070200,43,2020,M03,Tons,3
292,Kuwait,Australia,070200,27,2020,M03,Tons,0
293,Fiji,Australia,070200,1,2020,M03,Tons,14
294,Nauru,Australia,070200,1,2020,M03,Tons,2
295,New Caledonia,Australia,070200,0,2020,M03,Tons,27
296,Vanuatu,Australia,070200,0,2020,M03,Tons,0
297,New Zealand,Australia,070200,0,2020,M03,Tons,0
298,French Polynesia,Australia,070200,0,2020,M03,Tons,0
299,Solomon Islands,Australia,070200,0,2020,M03,Tons,0
300,Singapore,Australia,070310,103252,2018,M08,Kilograms,118
301,Thailand,Australia,070310,0,2018,M08,Kilograms,89
302,Fiji,Australia,070310,1677,2018,M08,Kilograms,14
303,Malaysia,Australia,070310,168,2018,M08,Kilograms,60
304,"Hong Kong, China",Australia,070310,3073,2018,M08,Kilograms,113
305,Indonesia,Australia,070310,0,2018,M08,Kilograms,85
306,French Polynesia,Australia,070310,0,2018,M08,Kilograms,0
307,Bahrain,Australia,070310,0,2018,M08,Kilograms,0
308,Solomon Islands,Australia,070310,0,2018,M08,Kilograms,0
309,Brunei Darussalam,Australia,070310,0,2018,M08,Kilograms,4
310,"Taipei, Chinese",Australia,070310,18480,2018,M08,Kilograms,52
311,New Caledonia,Australia,070310,0,2018,M08,Kilograms,0
312,New Zealand,Australia,070310,0,2018,M08,Kilograms,100
313,Papua New Guinea,Australia,070310,74,2018,M08,Kilograms,77
314,Qatar,Australia,070310,0,2018,M08,Kilograms,6
315,Singapore,Australia,070310,46114,2018,M09,Kilograms,31
316,Thailand,Australia,070310,0,2018,M09,Kilograms,148
317,Fiji,Australia,070310,1408,2018,M09,Kilograms,24
318,Malaysia,Australia,070310,0,2018,M09,Kilograms,34
319,"Hong Kong, China",Australia,070310,0,2018,M09,Kilograms,3
320,Indonesia,Australia,070310,0,2018,M09,Kilograms,49
321,French Polynesia,Australia,070310,1512,2018,M09,Kilograms,3
322,Bahrain,Australia,070310,0,2018,M09,Kilograms,0
323,Solomon Islands,Australia,070310,0,2018,M09,Kilograms,9
324,Brunei Darussalam,Australia,070310,1150,2018,M09,Kilograms,4
325,"Taipei, Chinese",Australia,070310,0,2018,M09,Kilograms,0
326,New Caledonia,Australia,070310,0,2018,M09,Kilograms,0
327,New Zealand,Australia,070310,0,2018,M09,Kilograms,54
328,Papua New Guinea,Australia,070310,180,2018,M09,Kilograms,44
329,Qatar,Australia,070310,0,2018,M09,Kilograms,7
330,Singapore,Australia,070310,23288,2018,M10,Kilograms,32
331,Thailand,Australia,070310,0,2018,M10,Kilograms,59
332,Fiji,Australia,070310,402,2018,M10,Kilograms,0
333,Malaysia,Australia,070310,1144,2018,M10,Kilograms,12
334,"Hong Kong, China",Australia,070310,219,2018,M10,Kilograms,3
335,Indonesia,Australia,070310,0,2018,M10,Kilograms,32
336,French Polynesia,Australia,070310,0,2018,M10,Kilograms,10
337,Bahrain,Australia,070310,0,2018,M10,Kilograms,0
338,Solomon Islands,Australia,070310,0,2018,M10,Kilograms,0
339,Brunei Darussalam,Australia,070310,0,2018,M10,Kilograms,4
340,"Taipei, Chinese",Australia,070310,0,2018,M10,Kilograms,0
341,New Caledonia,Australia,070310,0,2018,M10,Kilograms,0
342,New Zealand,Australia,070310,0,2018,M10,Kilograms,14
343,Papua New Guinea,Australia,070310,0,2018,M10,Kilograms,62
344,Qatar,Australia,070310,141,2018,M10,Kilograms,0
345,Singapore,Australia,070310,35418,2018,M11,Kilograms,27
346,Thailand,Australia,070310,18,2018,M11,Kilograms,5
347,Fiji,Australia,070310,200,2018,M11,Kilograms,2
348,Malaysia,Australia,070310,0,2018,M11,Kilograms,21
349,"Hong Kong, China",Australia,070310,264,2018,M11,Kilograms,6
350,Indonesia,Australia,070310,0,2018,M11,Kilograms,28
351,French Polynesia,Australia,070310,0,2018,M11,Kilograms,21
352,Bahrain,Australia,070310,0,2018,M11,Kilograms,0
353,Solomon Islands,Australia,070310,0,2018,M11,Kilograms,9
354,Brunei Darussalam,Australia,070310,0,2018,M11,Kilograms,4
355,"Taipei, Chinese",Australia,070310,0,2018,M11,Kilograms,0
356,New Caledonia,Australia,070310,0,2018,M11,Kilograms,26
357,New Zealand,Australia,070310,0,2018,M11,Kilograms,0
358,Papua New Guinea,Australia,070310,0,2018,M11,Kilograms,49
359,Qatar,Australia,070310,0,2018,M11,Kilograms,2
360,Singapore,Australia,070310,25292,2018,M12,Kilograms,24
361,Thailand,Australia,070310,0,2018,M12,Kilograms,5
362,Fiji,Australia,070310,0,2018,M12,Kilograms,40
363,Malaysia,Australia,070310,0,2018,M12,Kilograms,57
364,"Hong Kong, China",Australia,070310,1648,2018,M12,Kilograms,2
365,Indonesia,Australia,070310,0,2018,M12,Kilograms,29
366,French Polynesia,Australia,070310,0,2018,M12,Kilograms,9
367,Bahrain,Australia,070310,0,2018,M12,Kilograms,0
368,Solomon Islands,Australia,070310,0,2018,M12,Kilograms,21
369,Brunei Darussalam,Australia,070310,0,2018,M12,Kilograms,3
370,"Taipei, Chinese",Australia,070310,0,2018,M12,Kilograms,0
371,New Caledonia,Australia,070310,0,2018,M12,Kilograms,75
372,New Zealand,Australia,070310,0,2018,M12,Kilograms,0
373,Papua New Guinea,Australia,070310,0,2018,M12,Kilograms,63
374,Qatar,Australia,070310,182,2018,M12,Kilograms,1
375,Singapore,Australia,070310,14564,2019,M01,Kilograms,32
376,Thailand,Australia,070310,0,2019,M01,Kilograms,15
377,Fiji,Australia,070310,2078,2019,M01,Kilograms,0
378,Malaysia,Australia,070310,165,2019,M01,Kilograms,76
379,"Hong Kong, China",Australia,070310,281,2019,M01,Kilograms,2
380,Indonesia,Australia,070310,0,2019,M01,Kilograms,0
381,French Polynesia,Australia,070310,0,2019,M01,Kilograms,23
382,Bahrain,Australia,070310,0,2019,M01,Kilograms,0
383,Solomon Islands,Australia,070310,0,2019,M01,Kilograms,0
384,Brunei Darussalam,Australia,070310,820,2019,M01,Kilograms,4
385,"Taipei, Chinese",Australia,070310,0,2019,M01,Kilograms,16
386,New Caledonia,Australia,070310,0,2019,M01,Kilograms,24
387,New Zealand,Australia,070310,5000,2019,M01,Kilograms,0
388,Papua New Guinea,Australia,070310,0,2019,M01,Kilograms,47
389,Qatar,Australia,070310,0,2019,M01,Kilograms,5
390,Singapore,Australia,070310,12659,2019,M02,Kilograms,47
391,Thailand,Australia,070310,0,2019,M02,Kilograms,14
392,Fiji,Australia,070310,2167,2019,M02,Kilograms,0
393,Malaysia,Australia,070310,0,2019,M02,Kilograms,161
394,"Hong Kong, China",Australia,070310,0,2019,M02,Kilograms,42
395,Indonesia,Australia,070310,0,2019,M02,Kilograms,13
396,French Polynesia,Australia,070310,0,2019,M02,Kilograms,19
397,Bahrain,Australia,070310,0,2019,M02,Kilograms,2
398,Solomon Islands,Australia,070310,0,2019,M02,Kilograms,0
399,Brunei Darussalam,Australia,070310,0,2019,M02,Kilograms,3
400,"Taipei, Chinese",Australia,070310,0,2019,M02,Kilograms,16
401,New Caledonia,Australia,070310,1440,2019,M02,Kilograms,2
402,New Zealand,Australia,070310,0,2019,M02,Kilograms,0
403,Papua New Guinea,Australia,070310,558,2019,M02,Kilograms,71
404,Qatar,Australia,070310,0,2019,M02,Kilograms,45
405,Singapore,Australia,070310,14641,2019,M03,Kilograms,93
406,Thailand,Australia,070310,0,2019,M03,Kilograms,651
407,Fiji,Australia,070310,855,2019,M03,Kilograms,0
408,Malaysia,Australia,070310,0,2019,M03,Kilograms,418
409,"Hong Kong, China",Australia,070310,766,2019,M03,Kilograms,54
410,Indonesia,Australia,070310,375,2019,M03,Kilograms,163
411,French Polynesia,Australia,070310,803,2019,M03,Kilograms,18
412,Bahrain,Australia,070310,0,2019,M03,Kilograms,0
413,Solomon Islands,Australia,070310,0,2019,M03,Kilograms,0
414,Brunei Darussalam,Australia,070310,2000,2019,M03,Kilograms,4
415,"Taipei, Chinese",Australia,070310,0,2019,M03,Kilograms,479
416,New Caledonia,Australia,070310,0,2019,M03,Kilograms,0
417,New Zealand,Australia,070310,0,2019,M03,Kilograms,0
418,Papua New Guinea,Australia,070310,0,2019,M03,Kilograms,50
419,Qatar,Australia,070310,162,2019,M03,Kilograms,33
420,Singapore,Australia,070310,6914,2019,M04,Kilograms,81
421,Thailand,Australia,070310,0,2019,M04,Kilograms,747
422,Fiji,Australia,070310,1770,2019,M04,Kilograms,0
423,Malaysia,Australia,070310,2008,2019,M04,Kilograms,533
424,"Hong Kong, China",Australia,070310,567,2019,M04,Kilograms,143
425,Indonesia,Australia,070310,0,2019,M04,Kilograms,141
426,French Polynesia,Australia,070310,0,2019,M04,Kilograms,9
427,Bahrain,Australia,070310,0,2019,M04,Kilograms,2
428,Solomon Islands,Australia,070310,0,2019,M04,Kilograms,6
429,Brunei Darussalam,Australia,070310,1880,2019,M04,Kilograms,18
430,"Taipei, Chinese",Australia,070310,0,2019,M04,Kilograms,806
431,New Caledonia,Australia,070310,0,2019,M04,Kilograms,9
432,New Zealand,Australia,070310,0,2019,M04,Kilograms,0
433,Papua New Guinea,Australia,070310,0,2019,M04,Kilograms,57
434,Qatar,Australia,070310,0,2019,M04,Kilograms,38
435,Singapore,Australia,070310,23275,2019,M05,Kilograms,148
436,Thailand,Australia,070310,0,2019,M05,Kilograms,825
437,Fiji,Australia,070310,3587,2019,M05,Kilograms,6
438,Malaysia,Australia,070310,109,2019,M05,Kilograms,330
439,"Hong Kong, China",Australia,070310,200,2019,M05,Kilograms,144
440,Indonesia,Australia,070310,0,2019,M05,Kilograms,229
441,French Polynesia,Australia,070310,0,2019,M05,Kilograms,8
442,Bahrain,Australia,070310,0,2019,M05,Kilograms,27
443,Solomon Islands,Australia,070310,0,2019,M05,Kilograms,0
444,Brunei Darussalam,Australia,070310,0,2019,M05,Kilograms,30
445,"Taipei, Chinese",Australia,070310,0,2019,M05,Kilograms,971
446,New Caledonia,Australia,070310,0,2019,M05,Kilograms,0
447,New Zealand,Australia,070310,0,2019,M05,Kilograms,0
448,Papua New Guinea,Australia,070310,0,2019,M05,Kilograms,35
449,Qatar,Australia,070310,0,2019,M05,Kilograms,64
450,Singapore,Australia,070310,51719,2019,M06,Kilograms,149
451,Thailand,Australia,070310,0,2019,M06,Kilograms,1059
452,Fiji,Australia,070310,3530,2019,M06,Kilograms,0
